Cliente;ID;Tipo;Data da Venda;Categoria;Vendedor;Regional;Duração do Contrato (Meses);Equipe;Valor
Cliente 23;20170209;Licenciamento;2018-07-26;Renovação;Vendedor 1;Brasil;12;Time 1;235386.18
Cliente 23;20180226;Produtos;2018-07-26;Cross selling;Vendedor 1;Brasil;12;Time 1;408000.0
Cliente 23;20180648;Licenciamento;2019-06-26;Renovação;Vendedor 1;Brasil;12;Time 1;235386.18
Cliente 23;20190854;Produtos;2019-08-28;Renovação;Vendedor 1;Brasil;12;Time 1;360000.0
Cliente 23;20191901;Serviços;2019-12-16;Cross selling;Vendedor 9;Brasil;5;Time 3;359186.94
Cliente 23;20202551;Serviços;2020-08-14;Renovação;Vendedor 20;Brasil;12;Time 3;303590.4
Cliente 23;20202868;Produtos;2020-09-30;Upselling;Vendedor 20;Brasil;24;Time 3;226000.0
Cliente 24;20170123;Serviços;2018-05-08;Upselling;Vendedor 2;Brasil;11;Time 2;310464.0
Cliente 24;20170136;Licenciamento;2018-05-09;Renovação;Vendedor 2;Brasil;12;Time 2;184824.0
Cliente 24;20180384;Licenciamento;2018-09-28;Upselling;Vendedor 1;Brasil;8;Time 1;67619.11
