"cliente","id","tipo","data_da_venda","categoria","vendedor","regional","duracao_do_contrato_meses","equipe","valor"
"Cliente 50","2020-2574","Serviços","2020-08-31","Upselling","Vendedor 9","Brasil",3,"Time 3","R$ 110.244,96"
"Cliente 50","2020-2670","Serviços","2020-09-17","Upselling","Vendedor 9","Brasil",3,"Time 3","R$ 304.264,80"
"Cliente 50","2020-2610","Serviços","2020-09-29","Upselling","Vendedor 9","Brasil",3,"Time 3","R$ 60.852,96"
"Cliente 50","2020-3022","Serviços","2021-02-03","Renovação","Vendedor 9","Brasil",12,"Time 3","R$ 1.270.080,00"
"Cliente 51","2018-0387","Produtos","2019-02-28","Upselling","Vendedor 1","Brasil",2,"Time 1","R$ 45.000,00"
"Cliente 51","2018-0576","Produtos","2019-02-28","Novo Logo","Vendedor 1","Brasil",12,"Time 1","R$ 59.000,00"
"Cliente 52","2018-0463","Serviços","2019-03-19","Novo Logo","Vendedor 9","Brasil",2,"Time 3","R$ 18.561,20"
"Cliente 52","2019-1155","Serviços","2019-05-08","Upselling","Vendedor 9","Brasil",3,"Time 3","R$ 93.773,76"
"Cliente 52","2019-1312","Serviços","2019-06-26","Cross selling","Vendedor 9","Brasil",1,"Time 3","R$ 12.645,12"
"Cliente 52","2019-1417","Serviços","2019-07-18","Upselling","Vendedor 9","Brasil",4,"Time 3","R$ 184.204,92"
"Cliente 52","2019-1403","Serviços","2019-08-02","Upselling","Vendedor 9","Brasil",3,"Time 3","R$ 91.649,60"
"Cliente 52","2019-1680","Serviços","2019-10-08","Upselling","Vendedor 9","Brasil",4,"Time 3","R$ 224.385,96"
"Cliente 52","2019-1629","Licenciamento","2019-11-05","Cross selling","Vendedor 9","Brasil",37,"Time 3","R$ 215.587,08"
"Cliente 52","2019-1867","Serviços","2019-11-19","Upselling","Vendedor 9","Brasil",2,"Time 3","R$ 108.723,20"
"Cliente 52","2019-1886","Serviços","2019-11-26","Upselling","Vendedor 9","Brasil",5,"Time 3","R$ 91.649,60"
"Cliente 52","2019-1890","Serviços","2019-12-09","Cross selling","Vendedor 9","Brasil",3,"Time 3","R$ 100.568,96"
"Cliente 52","2020-2142","Serviços","2020-03-16","Renovação","Vendedor 16","Brasil",9,"Time 3","R$ 917.182,12"
"Cliente 52","2020-2351","Serviços","2020-05-29","Renovação","Vendedor 16","Brasil",12,"Time 3","R$ 232.233,54"
"Cliente 52","2020-2444","Serviços","2020-07-27","Renovação","Vendedor 16","Brasil",3,"Time 3","R$ 100.568,96"
"Cliente 52","2020-2895","Serviços","2020-10-21","Renovação","Vendedor 16","Brasil",3,"Time 3","R$ 100.568,96"
"Cliente 52","2021-3278","Serviços","2021-01-22","Upselling","Vendedor 9","Brasil",3,"Time 3","R$ 87.148,44"
"Cliente 52","2020-3198","Produtos","2021-02-26","Cross selling","Vendedor 9","Brasil",12,"Time 3","R$ 77.903,82"
"Cliente 52","2021-3873","Serviços","2021-04-19","Upselling","Vendedor 9","Brasil",7,"Time 3","R$ 203.346,36"
"Cliente 53","2018-0582","Produtos","2019-03-25","Novo Logo","Vendedor 11","Brasil",3,"Time 3","R$ 300.000,00"
"Cliente 53","2019-1010","Produtos","2019-12-02","Novo Logo","Vendedor 11","Brasil",12,"Time 3","R$ 257.040,00"
"Cliente 54","2018-0679","Serviços","2019-03-29","Cross selling","Vendedor 1","Brasil",1,"Time 1","R$ 81.500,68"
"Cliente 54","2018-0678","Produtos","2019-03-29","Novo Logo","Vendedor 1","Brasil",33,"Time 1","R$ 331.683,00"
"Cliente 55","2019-1118","Serviços","2019-04-16","Novo Logo","Vendedor 3","Brasil",1,"Time 1","R$ 45.000,00"
"Cliente 56","2018-0544","Produtos","2019-04-17","Novo Logo","Vendedor 11","Brasil",9,"Time 3","R$ 234.000,00"
"Cliente 57","2019-1078","Produtos","2019-04-18","Novo Logo","Vendedor 10","Brasil",2,"Time 7","R$ 81.715,20"
"Cliente 58","2019-0943","Produtos","2019-04-30","Novo Logo","Vendedor 4","Brasil",19,"Time 2","R$ 1.968.600,00"
"Cliente 58","2020-3100","Produtos","2021-02-17","Novo Logo","Vendedor 17","Brasil",61,"Time 8","R$ 701.653,60"
"Cliente 59","2019-0927","Licenciamento","2019-05-03","Novo Logo","Vendedor 3","Brasil",37,"Time 1","R$ 1.200.000,00"
"Cliente 59","2020-2360","Licenciamento","2020-05-22","Upselling","Vendedor 3","Brasil",37,"Time 1","R$ 155.560,00"
"Cliente 59","2020-2503","Serviços","2020-12-28","Cross selling","Vendedor 3","Brasil",3,"Time 1","R$ 88.089,60"
"Cliente 6","2018-0030","Serviços","2018-01-30","Novo Logo","Vendedor 1","Brasil",4,"Time 1","R$ 120.800,00"
"Cliente 6","2018-0141","Serviços","2018-04-30","Upselling","Vendedor 1","Brasil",14,"Time 1","R$ 66.000,00"
"Cliente 60","2019-1004","Produtos","2019-05-31","Novo Logo","Vendedor 13","Brasil",12,"Time 3","R$ 210.000,00"
"Cliente 61","2019-0716","Serviços","2019-05-31","Novo Logo","Vendedor 8","Mexico",1,"Time 6","R$ 198.690,00"
"Cliente 62","2018-0121","Produtos","2019-06-05","Novo Logo","Vendedor 9","Brasil",16,"Time 3","R$ 420.000,00"
"Cliente 62","2020-2608","Serviços","2020-08-25","Upselling","Vendedor 13","Brasil",13,"Time 3","R$ 420.000,00"
"Cliente 63","2019-1177","Produtos","2019-06-07","Novo Logo","Vendedor 9","Brasil",9,"Time 3","R$ 400.000,00"
"Cliente 64","2019-0703","Licenciamento","2019-06-24","Upselling","Vendedor 8","Mexico",37,"Time 6","R$ 5.316.300,00"
